;Job_description;Label_true;Label_pred
0;siamo ricerca figur full stack develop inserir interno team sviluppo evoluzion sistemi complessi ambito gestional realizzazion funzionalit innov clienti facendo riferimento proprio team leader seguendo processo ben strutturato figura ricercata dovr seguir progettazion sviluppo test interventi assegnati manutenzion moduli suit;Web Developer;Web Developer
1;nell ambito potenziamento struttura seguendo campagna d assunzion ambito sviluppo java dieci anni esperienza inser team sviluppo quarantina risors operant modalit agil candidati responsabili progettazion sviluppo nuov funzionalit andando trasporr specifich tecnich righ codic occupandosi bug fix general ricoprendo ruolo prodotti core aziendali il ruolo proposto conf quindi abbastanza classico stack tecnologico perlopi cloud base figur pi senior includ naturalment coinvolgimento maggior tematich architetturali gestion coordinamento risors junior fornitori clienti;Java Developer;Java Developer
2;gestion infrastruttura informatica sistemi operativi reti aziendali installazion configurazion hardwar softwar monitoraggio analisi perform sistema informatico reti dati fonia manutenzion ordinaria sistemi aggiornamenti installazion sistemi backup supporto assistenza staff problematich hardwar softwar;System Analyst;System Analyst
3;la risorsa responsabil installazion configurazion manutenzion sistemi informatici attivit gestion infrastruttura informatica sistemi operativi reti aziendali installazion configurazion hardwar softwar monitoraggio analisi perform sistema informatico reti dati manutenzion ordinaria sistemi aggiornamenti installazion sistemi backup risoluzion problemi guasti tecnici supporto assistenza staff problematich hardwar softwar;System Analyst;System Analyst
4;la risorsa inserita area innov center occup progettar sviluppar applicazioni supporto scenari innovazion prodotto disegno soluzioni fine garantir efficienza operativa scalabilit ottica automazion;Java Developer;Java Developer
5;partecipar sviluppo progetti softwar pi grandi gruppi editoriali italiani interfacciarsi client fornitor;Java Developer;Java Developer
6;quanta spa collaborazion bc soft srl ricerca reclut corso formazion lavoro mirato formar figura professional programmator java il progetto completament gratuito svolg tramit lezioni erog modalit remota durata ore lune venerd ore pausa prevista ore altr due paus minuti previst mattino pomeriggio introduzion java componenti fondamentali programma java stile codifica tipi dati array operatori gestion flusso esecuzion object orient java collect framework generici programmazion multithread applicazioni basic mule sviluppo gestion api scriver dataweav express connettori gestion errori postgresql heroku data servic;Java Developer;Java Developer
7;sei professionista esperienza ampia flessibil occhio sempr attento evoluzioni tecnologich se determinato ambizioso attento coltivar relazioni posit colleghi abil supportar progetti curiosit ide originali azienda fa te entrerai far part team tecnico obiettivo trasformar esigenz clienti softwar interattivi avanguardia la offerta includ l accesso programmi train sviluppo grazi academi programmi talent manag peopl engag un programma welfar aziendal la possibilit confrontarsi diversi team lavoro remoto persona contesto internazional multicultural;Web Developer;Web Developer
8;bv tech s p a societ ingegneria servizi ict ricerca ampliamento proprio organico seguenti figur sistemisti junior seniorla risors prescelt verranno inserit attivit implementazion nuovi processi gestion sicurezza sistemi informativi interni in particolar risorsa senior occup design installazion gestion manutenzion sistemi informatici scout soluzioni tecnologich realizzazion soluzioni secur aziendalein particolar risorsa junior occup installazion gestion manutenzion sistemi informatici customizzazion sistemi mediant attivit programmazion script inventario sistemi informativi centrali periferici competenz richiest diploma laurea materi scientifich preferibilment informatica ingegneria informatica esperienza amministrazion sistemi window linux esperienza amministrazion reti compreso firewal vpn na esperienza gestion infrastruttura;System Analyst;System Analyst
9;in avanad espandendo area devop applic racchiud professionisti distinguono altri commun softwar engin poich contributo consist introduzion processi strumenti metodologi soddisfino end to end ciclo vita applicativo code deploy manutenzion aggiornamenti per desideriamo incontrar professionisti maturato esperienza ruoli devop engin soluzioni azur base i candidati verranno inser progetti respiro internazional clienti milano roma questa occasion almeno anni esperienza sviluppo applicazioni cloud piattaforma azur devop ottima esperienza programmazion oggetti linguaggio ottima esperienza framework net buona esperienza sviluppo soluzioni basat microsoft azur architettura microservizi buona esperienza configurazion gestion pipelin continu integr ci continu delivey cd buona conoscenza esperienza databas relazionali sql server mysql per via contesto internazional inoltr importanti padronanza lingua ingles scritta parlata grand attitudin lavoro team l aver maturato esperienza lavorativa metodologia scrum agil rappresenta requisito preferenzial curiamo molto crescita individual person offriamo percorsi specifici defin supporto career advisor supportati continua formazion grazi partnership privilegi microsoft se vuoi crescer sviluppar potenzial esser protagonista definizion soluzioni innov click below and don t forget to appli employ transpar avanad is an equal opportun employ avanad prohibit discrimin and harass against ani employe or applic for employ becaus of race color age religion sex nation origin gender ident or express sexual orient disabl veteran militari or marit statu genet inform or ani other protect statu the eeo is the law poster is avail here and poster supplement is avail here the pay transpar polici is avail here avanad is commit to work with and provid reason accommod to individu with disabl if you need reason accommod due to disabl for ani part of the employ process pleas send an mail to avanad at career avanad com or call and let us know the natur of your request and your contact inform;Software Engineer;Software Engineer
